Table S1. Weights for nodal sum method.,,,,,,,,,,,
Diameter = 4.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.40243,0.150572,0.053865,0.018691,0.006344,0.002118,0.000698,0.000229,0.000077,0.000036
0.02,1,0.527628,0.257406,0.117864,0.05129,0.021419,0.008649,0.003399,0.001315,0.000526,0.000283
0.05,1,0.678049,0.444078,0.280686,0.171243,0.100954,0.057652,0.032085,0.01773,0.010358,0.007543
0.1,1,0.741305,0.54091,0.388106,0.273703,0.189847,0.129927,0.08854,0.061461,0.04562,0.039081
0.2,1,0.781233,0.607296,0.469878,0.362275,0.279099,0.216066,0.169832,0.137873,0.118405,0.110327
0.5,1,0.807197,0.653106,0.530531,0.433746,0.358233,0.300464,0.257743,0.228077,0.210081,0.20292
1,1,0.81119,0.660284,0.540241,0.445463,0.371525,0.31498,0.273187,0.244199,0.226661,0.219756
2,1,0.81158,0.660956,0.541117,0.446483,0.372648,0.316173,0.274429,0.245472,0.227953,0.221057
5,1,0.81211,0.661832,0.542207,0.447697,0.373925,0.317477,0.275737,0.246774,0.229244,0.222338
Diameter = 10.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.412059,0.158186,0.058118,0.020723,0.007231,0.002482,0.000841,0.000284,0.000099,0.000048
0.02,1,0.536768,0.267244,0.125152,0.055782,0.023884,0.009896,0.003994,0.001588,0.000655,0.000363
0.05,1,0.684826,0.453794,0.290715,0.180072,0.107957,0.062799,0.035671,0.020176,0.012097,0.008988
0.1,1,0.74679,0.549426,0.397877,0.283521,0.198974,0.138007,0.095508,0.067467,0.05096,0.044137
0.2,1,0.785913,0.614887,0.47912,0.372298,0.28934,0.226195,0.179698,0.147459,0.127789,0.119647
0.5,1,0.811492,0.660211,0.539399,0.443658,0.368711,0.311209,0.268586,0.238937,0.220942,0.2138
1,1,0.8154,0.667251,0.548942,0.455191,0.381814,0.325534,0.283841,0.254871,0.237333,0.230442
2,1,0.815764,0.667883,0.549769,0.456158,0.382881,0.326672,0.285027,0.25609,0.238571,0.23169
5,1,0.816247,0.668684,0.550771,0.45728,0.384068,0.327889,0.286253,0.257313,0.239787,0.232897
Diameter = 11.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.421339,0.165721,0.062442,0.022847,0.008183,0.002884,0.001004,0.000348,0.000125,0.000062
0.02,1,0.545484,0.276816,0.132405,0.060361,0.026461,0.011233,0.004648,0.001898,0.000807,0.000459
0.05,1,0.691272,0.46312,0.30045,0.188761,0.114959,0.068041,0.039399,0.022778,0.013993,0.010588
0.1,1,0.752026,0.557607,0.407335,0.293112,0.207988,0.146089,0.102578,0.073652,0.056527,0.04944
0.2,1,0.790425,0.622246,0.488132,0.382137,0.299463,0.236278,0.189585,0.157121,0.137284,0.129087
0.5,1,0.81568,0.667174,0.548132,0.453462,0.379119,0.321922,0.279428,0.249822,0.23184,0.224717
1,1,0.81952,0.674105,0.557543,0.464854,0.392078,0.336106,0.294545,0.265619,0.248094,0.241219
2,1,0.819865,0.674705,0.558332,0.46578,0.393104,0.337202,0.29569,0.266798,0.249292,0.242427
5,1,0.82031,0.675448,0.559265,0.466831,0.39422,0.33835,0.296851,0.267959,0.250449,0.243577
Diameter = 12.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.430178,0.173075,0.06677,0.025026,0.009185,0.003318,0.001184,0.000421,0.000156,0.000079
0.02,1,0.553707,0.286015,0.139521,0.064956,0.029108,0.012641,0.005355,0.002241,0.000979,0.000571
0.05,1,0.697334,0.471967,0.309785,0.197198,0.121861,0.073295,0.043209,0.025496,0.016019,0.01232
0.1,1,0.756965,0.565371,0.416377,0.302361,0.216772,0.154059,0.109646,0.079919,0.062231,0.054901
0.2,1,0.794711,0.629275,0.496794,0.391655,0.309321,0.246164,0.199342,0.166705,0.146735,0.138497
0.5,1,0.819691,0.673873,0.556572,0.462981,0.389265,0.332404,0.29007,0.260529,0.242574,0.235472
1,1,0.823472,0.680712,0.565875,0.474258,0.402109,0.346475,0.305077,0.276219,0.258721,0.251865
2,1,0.823801,0.681288,0.566633,0.475151,0.403101,0.347537,0.306189,0.277365,0.259888,0.253042
5,1,0.824216,0.681983,0.567511,0.476143,0.404159,0.348631,0.307298,0.278478,0.260997,0.254145
Diameter = 13.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.438557,0.180206,0.071065,0.027242,0.010229,0.003781,0.001381,0.000503,0.000191,0.0001
0.02,1,0.561436,0.294807,0.146456,0.069527,0.031799,0.014104,0.006106,0.002615,0.001173,0.0007
0.05,1,0.703013,0.480321,0.318689,0.205342,0.128613,0.078517,0.047066,0.028305,0.018155,0.014168
0.1,1,0.7616,0.572702,0.424976,0.311231,0.225278,0.161866,0.116653,0.086209,0.068014,0.060465
0.2,1,0.798759,0.635951,0.505067,0.400802,0.318856,0.255786,0.208892,0.176133,0.156063,0.147793
0.5,1,0.823499,0.680264,0.564661,0.472142,0.399068,0.342567,0.300418,0.270963,0.253048,0.245971
1,1,0.827231,0.687025,0.573871,0.483321,0.411815,0.356544,0.315334,0.286565,0.269107,0.262273
2,1,0.827547,0.687579,0.574603,0.484186,0.412778,0.357578,0.316419,0.287684,0.270247,0.263423
5,1,0.827937,0.688235,0.575435,0.48513,0.41379,0.358627,0.317485,0.288756,0.271318,0.264489
Diameter = 14.0,,,,,,,,,,,
Pulse Duration,|n-j|=0,|n-j|=1,|n-j|=2,|n-j|=3,|n-j|=4,|n-j|=5,|n-j|=6,|n-j|=7,|n-j|=8,|n-j|=9,|n-j|=10
0.01,1,0.446487,0.187098,0.075308,0.029479,0.011306,0.00427,0.001594,0.000594,0.000232,0.000123
